# Наименования для Ozon. Формат: артикул | наименование
#
# Правила Ozon (docs/ozon/ozon-ranking-2026.md §4):
#   до 200 знаков, оптимально 40–80; одно слово не более двух раз;
#   важное в начало; запрещены ® © [ ] = \ « » ™; с заглавной буквы.
#
# Ключи взяты из ядра WB (docs/ozon/ядро_wb.tsv). Решение владелицы от
# 10.09.2026: не ждать сверки с Ozon, работать по WB и править потом
# по живым продажам.
#
# Бренд в наименование не ставим: «Бренд» — отдельное обязательное поле,
# а «АРОЛС» поискового спроса не имеет и съедает знаки, которых на Ozon
# и так в обрез. Решение обратимое.
#
# «Медицинский пластик» из ACRA7TB401BC НЕ переносим: на WB это пункт A
# чеклиста (заявление о свойствах без подтверждения). На Ozon те же грабли.

# ── Таблетница ──────────────────────────────────────────────────────────
# Ключи: таблетница (209657), таблетница на неделю (86685), таблетница на
# день (36441), органайзер для таблеток (14497), контейнер для лекарств
# (12997), контейнер для таблеток (12978), таблетница на неделю 2 приема
# (11555), таблетница маленькая (11185), таблетница утро вечер (4758)
ACRA7TB101BC | Таблетница на неделю 2 приема круглая, органайзер для таблеток, черная
ACRA7TB101CL | Таблетница на неделю 2 приема круглая, органайзер для таблеток, цветная
ACRA7TB201BC | Таблетница на неделю 2 приема большая, контейнер для лекарств, черная
ACRA7TB201CL | Таблетница на неделю утро вечер, органайзер для таблеток, цветная
ACRA7TB201LI | Таблетница на неделю 2 приема или на 14 дней, органайзер, сиреневая
ACRA7TB201WH | Таблетница на неделю 2 приема, контейнер для таблеток, прозрачная
ACRA7TB301CL | Таблетница на неделю утро вечер круглая, контейнер для лекарств, цветная
ACRA7TB301GR | Таблетница на неделю 2 приема круглая компактная, органайзер, серая
ACRA7TB301WH | Таблетница круглая на неделю 2 приема, контейнер для лекарств, прозрачная
ACRA7TB401BC | Таблетница на неделю 2 приема, бокс органайзер для таблеток, черная

# ── Мешок для стирки ────────────────────────────────────────────────────
# Ключи: мешок для стирки (39267), для стирки (31911), мешок для стирки
# бюстгальтера (11298), мешок для стирки белья (7230), сетка для стирки
# белья в машинке (4050), мешок для стирки одежды (2055), мешок для
# стирки большой (1720), чехол для стирки бюстгальтера (2080)
AHMA1BW101BG | Чехол мешок для стирки бюстгальтера с каркасом 15х17 см, бежевый
AHMA1BW111WH | Мешок для стирки подушек и пуховика большой 60х80 см, мелкая сетка
AHMA1BW112WH | Мешок для стирки пуховика и одеяла большой 60х80 см, крупная сетка
AHMA1BW301WH | Мешок для стирки обуви в стиральной машине, каркасный 30 см
AHMA1BW302WH | Мешок для стирки обуви каркасный 35 см, до 47 размера
AHMA2BW201WH | Мешок для стирки бюстгальтера с каркасом и нижнего белья, 2 шт
AHMA2BW202WH | Мешки для стирки бюстгальтера и нижнего белья, набор 2 шт
AHMA3BW101BG | Мешки для стирки одежды и носков, набор 3 шт, бежевые
AHMA3BW102BG | Мешочки для стирки белья и шелка в машинке, набор 3 шт
